,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status,score_proba
27590,34,90000,RENT,15.0,VENTURE,B,15000,11.12,0.17,N,5,0,0.04540372647534352
4765,22,31404,RENT,0.0,PERSONAL,A,5000,7.51,0.16,N,3,0,0.1312666486974432
11184,22,50000,RENT,6.0,EDUCATION,C,10000,13.57,0.2,Y,3,0,0.19837078949666936
5975,24,52000,RENT,2.0,MEDICAL,A,5600,7.29,0.11,N,2,0,0.10045376740745912
1388,22,26400,MORTGAGE,,HOMEIMPROVEMENT,A,1550,,0.06,N,2,1,0.05773047599534693
67,25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0.08,Y,2,0,0.1732823011988235
20947,29,28114,RENT,0.0,DEBTCONSOLIDATION,B,8800,10.0,0.31,N,10,1,0.6591832179741187
32536,60,150000,MORTGAGE,1.0,PERSONAL,A,10000,5.79,0.07,N,18,0,0.010837333787481019
23488,29,63000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,5000,11.14,0.08,N,9,0,0.06428091180136525
17391,23,37500,RENT,2.0,DEBTCONSOLIDATION,C,8000,14.26,0.21,N,4,0,0.4903431033036489
6096,24,48000,MORTGAGE,7.0,MEDICAL,A,12000,7.29,0.25,N,3,0,0.12733610970595952
18893,27,28560,MORTGAGE,7.0,PERSONAL,A,2400,6.39,0.08,N,8,0,0.024617848640601212
28145,32,40000,RENT,2.0,PERSONAL,B,4000,9.99,0.1,N,8,0,0.09494959082836943
13586,26,94000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,5000,7.68,0.05,N,3,0,0.03043969653637883
3271,22,36000,MORTGAGE,0.0,PERSONAL,A,2000,,0.06,N,4,0,0.030829593202235172
26826,27,44000,RENT,2.0,MEDICAL,B,15000,,0.34,N,6,1,0.5683421772729473
28964,28,55704,MORTGAGE,12.0,EDUCATION,A,8400,7.51,0.15,N,6,0,0.02639790604501229
24827,32,90000,RENT,2.0,DEBTCONSOLIDATION,B,10000,11.12,0.11,N,8,0,0.12204437514188907
20633,27,42000,MORTGAGE,11.0,PERSONAL,A,3500,8.49,0.08,N,9,0,0.0247236825220111
15881,23,55000,RENT,3.0,EDUCATION,D,19200,15.21,0.35,N,4,1,0.8673672923987003
24572,28,68900,MORTGAGE,1.0,PERSONAL,E,18000,17.39,0.26,N,7,1,0.6691292326160186
5679,23,108000,RENT,7.0,EDUCATION,A,5000,7.66,0.05,N,4,0,0.027287621797664113
14359,24,105000,MORTGAGE,6.0,EDUCATION,B,25000,10.74,0.24,N,3,0,0.02645465917590724
8428,23,57850,MORTGAGE,8.0,EDUCATION,B,4000,10.99,0.07,N,2,0,0.024211567189863385
12301,24,80000,MORTGAGE,8.0,PERSONAL,C,12000,13.48,0.15,Y,4,0,0.05557291696668479
24830,27,76788,MORTGAGE,0.0,DEBTCONSOLIDATION,B,17000,12.42,0.22,N,10,0,0.12336143172617373
5822,25,28800,RENT,0.0,DEBTCONSOLIDATION,B,5500,9.76,0.19,N,4,0,0.35742975236414215
29000,31,33600,MORTGAGE,1.0,MEDICAL,B,15250,12.53,0.45,N,8,0,0.7251412664488252
23065,29,60000,OWN,9.0,PERSONAL,C,9000,12.23,0.15,N,10,0,0.015003667482942002
19455,30,40750,RENT,2.0,DEBTCONSOLIDATION,D,3000,15.28,0.07,N,10,1,0.6868427136402044
17665,23,68000,MORTGAGE,5.0,MEDICAL,B,11500,9.99,0.17,N,2,0,0.07639852463528046
17683,22,60000,MORTGAGE,6.0,MEDICAL,A,7000,7.14,0.12,N,3,0,0.04400917129538551
856,21,23000,MORTGAGE,2.0,MEDICAL,A,7000,8.9,0.3,N,3,0,0.3597994474601825
2330,22,31500,MORTGAGE,3.0,VENTURE,B,4500,9.88,0.14,N,2,0,0.04208917216194497
5967,24,47700,RENT,0.0,MEDICAL,B,5600,9.99,0.12,N,2,0,0.15919969751728097
16417,23,32535,RENT,6.0,DEBTCONSOLIDATION,B,4000,,0.12,N,2,0,0.2087780594868696
25921,29,92004,MORTGAGE,12.0,VENTURE,B,10000,9.63,0.11,N,6,0,0.015135507351148315
12215,23,80000,MORTGAGE,3.0,EDUCATION,A,6000,5.99,0.07,N,4,0,0.012776500709984094
6563,23,50000,MORTGAGE,5.0,VENTURE,A,3600,5.99,0.07,N,2,0,0.01190955500732322
3164,25,36000,RENT,3.0,VENTURE,A,3500,6.62,0.1,N,3,0,0.04155410436565769
27303,29,130000,MORTGAGE,7.0,DEBTCONSOLIDATION,C,18000,13.22,0.14,Y,8,0,0.05162481139502019
19579,28,62000,RENT,2.0,PERSONAL,B,3000,9.96,0.05,N,9,0,0.059530541356631224
26697,33,110000,MORTGAGE,2.0,MEDICAL,A,5000,7.51,0.05,N,7,0,0.024831142987870168
9556,22,54000,RENT,4.0,PERSONAL,C,8075,13.06,0.15,N,3,0,0.1737417081323243
28834,31,58000,MORTGAGE,15.0,HOMEIMPROVEMENT,A,8875,,0.15,N,5,0,0.07460545568676091
4044,25,65499,RENT,9.0,VENTURE,C,4000,12.23,0.06,N,4,0,0.05014418870505453
20927,27,130000,RENT,9.0,HOMEIMPROVEMENT,A,9000,7.05,0.07,N,6,0,0.05476667776328158
30741,36,63000,MORTGAGE,7.0,MEDICAL,A,4200,7.14,0.07,N,13,0,0.029992001866127792
5584,25,45000,MORTGAGE,7.0,EDUCATION,A,7500,8.0,0.17,N,3,0,0.04082029692206745
30026,41,30000,RENT,3.0,MEDICAL,A,8875,5.42,0.3,N,15,0,0.43714227212309864
7845,22,42000,RENT,4.0,MEDICAL,C,7000,13.61,0.17,N,2,0,0.327897985550619
10624,25,69570,OWN,0.0,PERSONAL,A,1500,7.74,0.02,N,2,0,0.0033179270836285546
24796,27,84996,RENT,12.0,PERSONAL,B,10000,10.51,0.12,N,7,0,0.06624827672582202
5120,24,58800,RENT,4.0,EDUCATION,A,9000,,0.15,N,2,0,0.07787035192148775
7919,26,55000,MORTGAGE,2.0,MEDICAL,A,11300,7.29,0.21,N,4,0,0.090834593753689
2288,26,48000,RENT,0.0,DEBTCONSOLIDATION,B,13000,11.26,0.27,N,3,0,0.45084107935532686
18022,30,200000,MORTGAGE,0.0,MEDICAL,B,24250,11.48,0.12,N,8,0,0.015540801344755694
16679,22,75000,MORTGAGE,4.0,VENTURE,A,9000,6.99,0.12,N,3,0,0.014724417370496058
11068,25,72000,MORTGAGE,9.0,EDUCATION,B,14000,12.42,0.19,N,2,0,0.04428097628655392
17776,24,35000,RENT,4.0,MEDICAL,A,1850,7.12,0.05,N,3,0,0.06632278071141724
3840,23,33000,RENT,3.0,DEBTCONSOLIDATION,B,4000,10.96,0.12,N,4,0,0.21635789167053837
19733,35,24000,RENT,3.0,VENTURE,C,3500,12.99,0.15,N,6,0,0.1599790752908563
27087,27,121000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,16800,6.91,0.14,N,8,0,0.02900426129083122
27253,33,54000,RENT,17.0,DEBTCONSOLIDATION,B,15000,11.86,0.28,N,7,1,0.38377081854676337
6970,22,105500,RENT,6.0,EDUCATION,B,6000,11.99,0.06,N,4,0,0.0457127273919089
3970,23,50000,RENT,3.0,EDUCATION,C,4000,12.61,0.08,Y,2,0,0.08498641225958903
26938,27,120000,MORTGAGE,11.0,EDUCATION,B,20000,10.65,0.17,N,8,0,0.017115727199279618
15372,24,131004,MORTGAGE,8.0,PERSONAL,A,24000,7.49,0.18,N,4,0,0.011685676958153236
22549,28,55640,MORTGAGE,6.0,MEDICAL,B,20000,,0.36,N,8,0,0.29898519887940794
11456,21,45000,RENT,4.0,MEDICAL,A,4000,7.9,0.09,N,3,0,0.09420746777368387
23326,33,68500,RENT,6.0,HOMEIMPROVEMENT,B,8000,10.62,0.12,N,6,0,0.15286630677226
19156,28,30000,MORTGAGE,2.0,MEDICAL,A,10500,8.94,0.35,N,8,0,0.4281244904474279
22846,27,13500,RENT,2.0,MEDICAL,B,8000,12.18,0.59,N,5,1,0.9871151790775691
3322,24,36000,MORTGAGE,8.0,VENTURE,A,3250,6.39,0.09,N,2,0,0.015469665789361497
18797,35,19200,RENT,4.0,PERSONAL,A,1200,7.29,0.06,N,10,1,0.05111639041335765
21748,27,54000,RENT,11.0,VENTURE,D,6000,14.59,0.11,Y,5,0,0.41502950319450976
20402,28,49000,RENT,12.0,HOMEIMPROVEMENT,C,4500,14.27,0.09,N,10,1,0.2108055920692304
16623,22,69528,RENT,6.0,VENTURE,C,6000,12.99,0.09,N,3,0,0.06618203854177397
2213,23,38400,RENT,1.0,VENTURE,B,13250,10.99,0.35,N,4,1,0.4149202963182661
25662,34,89000,MORTGAGE,17.0,DEBTCONSOLIDATION,B,10000,10.99,0.11,N,7,0,0.046263121942397144
32504,55,94000,MORTGAGE,11.0,PERSONAL,A,4000,6.62,0.04,N,26,0,0.0123321407764043
14421,25,94000,MORTGAGE,1.0,VENTURE,E,25000,,0.27,Y,2,1,0.2916522200663451
13071,24,87550,MORTGAGE,5.0,EDUCATION,B,3600,11.86,0.04,N,4,0,0.019804087401885873
5027,25,45600,RENT,6.0,DEBTCONSOLIDATION,C,5000,,0.11,N,2,0,0.20857615962254208
10488,22,30000,RENT,1.0,MEDICAL,C,10000,12.53,0.33,N,4,1,0.7347138887742748
26297,31,100000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,15000,10.59,0.15,N,10,0,0.056869798405554464
14882,25,118189,MORTGAGE,9.0,VENTURE,B,25000,11.49,0.21,N,3,0,0.01444814893088121
23122,28,60000,OWN,7.0,MEDICAL,A,12000,7.51,0.2,N,5,0,0.015796214805937698
11657,23,75000,MORTGAGE,7.0,MEDICAL,B,6000,10.99,0.08,N,3,0,0.04580726068756558
6253,24,48000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,5000,7.68,0.1,N,4,0,0.05626322608709805
6955,25,50400,OWN,0.0,HOMEIMPROVEMENT,D,6000,14.59,0.12,N,2,0,0.22485705172794251
25462,27,85000,MORTGAGE,11.0,PERSONAL,A,10000,7.49,0.12,N,8,0,0.02076517440156027
10049,23,65000,MORTGAGE,4.0,MEDICAL,A,7000,7.14,0.11,N,3,0,0.03994072502386221
28144,27,100000,RENT,11.0,VENTURE,B,5000,12.42,0.05,N,8,0,0.03331483807957399
8434,23,57996,MORTGAGE,5.0,EDUCATION,A,8800,7.51,0.15,N,2,0,0.028122405541047987
12333,24,80000,MORTGAGE,0.0,PERSONAL,A,6000,8.59,0.07,N,4,0,0.020560134329099564
16156,23,72000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,12000,13.61,0.17,N,4,1,0.13960199324582973
31805,42,150000,MORTGAGE,0.0,HOMEIMPROVEMENT,A,16000,8.49,0.11,N,12,0,0.02477199604578595
22051,33,52000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,1800,7.51,0.03,N,5,0,0.030197296337031204
23585,32,35000,RENT,0.0,MEDICAL,A,9000,8.59,0.26,N,6,0,0.3773364396422382
734,23,59497,RENT,0.0,MEDICAL,E,20000,16.0,0.29,N,3,1,0.887447315479621
18288,31,85000,RENT,6.0,MEDICAL,B,22000,11.58,0.26,N,5,0,0.1841803091800065
24151,30,42000,RENT,4.0,VENTURE,A,10000,,0.24,N,9,0,0.1581520108193675
26812,32,86700,MORTGAGE,16.0,MEDICAL,D,20000,14.74,0.2,N,9,1,0.3791161909421474
18198,32,235000,RENT,1.0,PERSONAL,C,25000,12.53,0.11,Y,7,0,0.02430744426515346
7552,24,33000,RENT,8.0,MEDICAL,B,6400,9.99,0.19,N,2,0,0.2771889727800135
1879,24,200004,RENT,5.0,EDUCATION,B,15000,10.59,0.07,N,4,0,0.02132063062209888
6317,24,35004,RENT,2.0,VENTURE,B,6000,10.59,0.17,N,3,0,0.11942516366948257
31007,39,55000,RENT,3.0,VENTURE,B,10000,10.99,0.18,N,13,0,0.09310265603180169
9017,26,54000,MORTGAGE,2.0,HOMEIMPROVEMENT,C,6000,13.98,0.11,Y,3,1,0.12224550784605677
10581,25,69000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,9600,7.49,0.14,N,3,0,0.055177123610433615
13584,26,42000,RENT,4.0,EDUCATION,B,12800,10.59,0.3,N,2,0,0.31316731974552203
17339,23,157500,RENT,1.0,EDUCATION,B,10000,12.69,0.06,N,2,0,0.03624232642473327
16162,21,32400,RENT,2.0,VENTURE,C,10000,13.23,0.31,Y,3,1,0.4519753939453817
18910,32,45996,RENT,2.0,MEDICAL,B,1800,11.58,0.04,N,9,0,0.09632229605587292
13355,26,90000,MORTGAGE,1.0,PERSONAL,B,20000,,0.22,N,3,0,0.04622242654166088
13797,22,96000,MORTGAGE,2.0,EDUCATION,A,12000,,0.13,N,3,0,0.022135327916591785
11475,26,75000,OWN,10.0,MEDICAL,B,9250,12.69,0.12,N,4,0,0.01272145852293754
10108,26,54011,RENT,10.0,EDUCATION,D,9500,16.29,0.18,N,2,0,0.6529189117803409
3934,23,39456,OWN,7.0,EDUCATION,A,14000,7.29,0.35,N,3,0,0.04300199899671028
28415,28,24000,RENT,0.0,EDUCATION,B,5000,11.86,0.21,N,8,0,0.2665931222810256
12299,24,80000,MORTGAGE,8.0,EDUCATION,B,18000,10.62,0.23,N,2,0,0.044281696516324555
2693,25,33800,MORTGAGE,2.0,EDUCATION,D,10000,15.31,0.3,N,4,0,0.7940474835209845
19591,32,35000,MORTGAGE,4.0,EDUCATION,A,10000,6.03,0.29,N,6,0,0.1212406661996134
8639,26,53826,MORTGAGE,10.0,VENTURE,C,8500,14.79,0.16,N,3,1,0.05862120227893304
28537,29,81000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,12000,,0.15,N,6,1,0.5022341662554817
17475,22,55000,MORTGAGE,6.0,VENTURE,A,10000,5.79,0.18,N,2,0,0.0249410968310548
3356,24,41280,RENT,3.0,VENTURE,D,11000,15.28,0.27,N,3,0,0.805393786753951
17458,22,50000,RENT,3.0,VENTURE,C,13000,12.23,0.26,N,3,0,0.23275342024025739
19610,33,74400,RENT,7.0,EDUCATION,B,3000,11.83,0.04,N,5,1,0.04339847699908692
8686,23,60000,OWN,5.0,EDUCATION,C,16000,14.27,0.27,Y,4,0,0.03135122325091098
22833,30,52500,MORTGAGE,14.0,EDUCATION,A,10000,9.63,0.19,N,8,1,0.04192021079682715
20382,30,40000,RENT,4.0,VENTURE,C,4500,14.26,0.11,Y,6,0,0.09902264250319961
10696,21,38400,RENT,5.0,EDUCATION,A,10000,7.66,0.26,N,4,0,0.19776471982899074
21466,29,48000,OWN,3.0,PERSONAL,C,9600,12.23,0.2,Y,8,0,0.027365833305464903
5933,23,30000,RENT,3.0,VENTURE,B,5600,,0.19,N,4,0,0.15746059049908542
15631,22,87800,RENT,3.0,MEDICAL,B,15000,11.36,0.17,N,4,0,0.1334164838297099
3608,26,37820,MORTGAGE,3.0,HOMEIMPROVEMENT,A,6300,,0.17,N,4,0,0.13826611660642268
23410,30,62256,MORTGAGE,1.0,HOMEIMPROVEMENT,D,9000,15.05,0.14,Y,10,0,0.569799495523074
12906,22,76000,RENT,4.0,EDUCATION,A,12000,7.9,0.16,N,4,0,0.05485825263088952
30213,42,33564,RENT,5.0,PERSONAL,D,6000,16.29,0.18,N,15,1,0.7809810780299125
7705,22,30000,RENT,4.0,DEBTCONSOLIDATION,D,7000,16.49,0.23,Y,3,1,0.9229821634871038
30959,40,71000,MORTGAGE,5.0,EDUCATION,E,7000,15.38,0.1,Y,12,0,0.3172462481586352
8747,22,30996,RENT,6.0,EDUCATION,A,8000,7.14,0.26,N,4,1,0.22176908618508706
31462,38,96000,MORTGAGE,0.0,PERSONAL,C,1500,14.26,0.02,N,14,0,0.03796227955885139
2146,23,49800,RENT,2.0,PERSONAL,B,2400,11.83,0.05,N,2,0,0.07069912546994722
3634,21,25000,RENT,0.0,DEBTCONSOLIDATION,A,3800,8.59,0.15,N,2,0,0.23320782178025407
26674,33,110000,MORTGAGE,10.0,MEDICAL,A,18000,6.99,0.16,N,9,0,0.023262385502910935
10544,26,33200,RENT,2.0,MEDICAL,B,10000,11.49,0.3,N,2,0,0.572302181851605
29228,40,98004,RENT,4.0,DEBTCONSOLIDATION,F,25000,19.04,0.26,Y,16,1,0.832006890082207
23366,27,78500,RENT,6.0,VENTURE,A,8000,8.59,0.1,N,5,0,0.0306417369096012
20178,31,36000,RENT,4.0,MEDICAL,C,4000,13.8,0.11,Y,9,0,0.22459057835248072
31255,40,27599,RENT,6.0,VENTURE,B,3000,10.25,0.11,N,17,0,0.07028057204615529
20958,27,60000,RENT,2.0,HOMEIMPROVEMENT,B,8800,11.36,0.15,N,10,0,0.21936669564757189
15580,23,74000,RENT,1.0,VENTURE,D,15000,15.65,0.2,N,2,1,0.5446660280831426
11065,23,72000,MORTGAGE,5.0,PERSONAL,D,12000,16.29,0.17,N,2,0,0.4431256466971968
4019,22,39996,MORTGAGE,6.0,DEBTCONSOLIDATION,A,6000,8.0,0.15,N,3,0,0.08672187047558988
16807,25,27096,RENT,7.0,EDUCATION,A,5000,7.9,0.18,N,3,1,0.12263457823463421
5040,21,43008,MORTGAGE,0.0,VENTURE,D,11200,15.31,0.26,N,3,0,0.6224047021023837
19342,28,115000,RENT,0.0,VENTURE,A,2850,6.54,0.02,N,9,0,0.018443527922232226
23193,29,60000,MORTGAGE,8.0,HOMEIMPROVEMENT,D,16000,14.96,0.27,Y,6,0,0.7572314994865298
22224,35,53500,MORTGAGE,1.0,VENTURE,C,20000,12.53,0.37,Y,7,0,0.2078860784210169
31575,40,35416,RENT,15.0,MEDICAL,A,2000,6.91,0.06,N,14,0,0.061435462938444325
18970,27,106000,RENT,5.0,DEBTCONSOLIDATION,B,15000,10.75,0.14,N,6,0,0.10538444852042304
5089,23,43236,OWN,1.0,VENTURE,C,18000,12.87,0.42,N,2,0,0.12359785000033381
3087,25,11000,RENT,3.0,MEDICAL,B,3400,,0.31,N,2,1,0.7391842003231411
4713,22,27996,RENT,1.0,VENTURE,E,5000,17.51,0.18,N,4,1,0.7878428612755335
25067,28,80000,MORTGAGE,11.0,PERSONAL,A,16000,5.99,0.2,N,7,0,0.027685505126164887
13086,23,88000,MORTGAGE,7.0,VENTURE,A,12475,6.03,0.14,N,4,0,0.012102400299969724
31949,48,19200,OWN,1.0,MEDICAL,C,7000,,0.36,N,16,1,0.29603112394722286
17930,29,250000,MORTGAGE,12.0,VENTURE,A,8000,7.51,0.03,N,10,0,0.005906855571416682
13439,21,91500,MORTGAGE,4.0,PERSONAL,C,8000,13.61,0.09,N,2,0,0.044210194490600305
13524,22,60000,RENT,6.0,PERSONAL,B,12500,10.59,0.21,N,4,0,0.159563043487515
22226,29,53590,MORTGAGE,2.0,HOMEIMPROVEMENT,B,11225,11.14,0.21,N,7,0,0.16740980072303985
8238,26,36000,RENT,10.0,VENTURE,B,7500,10.59,0.21,N,3,0,0.14844653634674673
4962,22,43000,MORTGAGE,4.0,PERSONAL,C,6600,14.27,0.15,Y,2,0,0.09989148549345364
28475,27,45727,MORTGAGE,5.0,VENTURE,D,1000,16.29,0.02,N,5,0,0.1696633465551322
30041,39,45000,MORTGAGE,2.0,PERSONAL,A,3000,7.9,0.07,N,15,0,0.024124205954275352
19443,27,44000,RENT,11.0,VENTURE,E,3000,18.39,0.07,Y,7,0,0.49403637843001735
13429,25,35000,OWN,9.0,PERSONAL,C,4000,13.11,0.11,N,2,0,0.015385315435570203
9797,25,64500,OWN,4.0,PERSONAL,C,12000,13.48,0.19,Y,4,0,0.02082824654377
16185,23,89000,RENT,7.0,EDUCATION,C,7000,,0.08,Y,3,0,0.056714441449618
7478,22,41196,RENT,6.0,PERSONAL,C,6800,11.59,0.17,Y,2,0,0.20460600929578407
24427,33,51996,RENT,4.0,DEBTCONSOLIDATION,A,10000,7.14,0.19,N,6,0,0.18548388711915392
4857,22,36000,RENT,,MEDICAL,C,5000,13.48,0.14,N,3,0,0.2858592807690699
15064,23,48000,RENT,4.0,EDUCATION,C,1600,13.98,0.03,N,3,0,0.06580620829924597
32475,55,75000,MORTGAGE,3.0,PERSONAL,A,10000,7.51,0.13,N,20,0,0.024097701322661445
19212,29,46000,RENT,11.0,MEDICAL,D,13250,17.27,0.29,Y,6,1,0.9159369991810211
27961,35,40000,OWN,5.0,VENTURE,A,8000,7.66,0.2,N,7,0,0.009268664418708258
27195,33,125000,OWN,17.0,PERSONAL,A,3000,7.75,0.02,N,8,0,0.002386029064321216
2135,25,44000,RENT,5.0,MEDICAL,A,2400,7.66,0.05,N,4,0,0.06503031365603461
19266,27,26400,RENT,3.0,VENTURE,C,2500,13.23,0.09,Y,10,0,0.0897599376371973
8656,25,30000,RENT,6.0,DEBTCONSOLIDATION,B,8000,10.74,0.27,N,3,0,0.5471254952229201
15552,22,20000,OWN,7.0,PERSONAL,B,3200,12.21,0.16,N,4,0,0.024482987290026816
28164,29,70000,MORTGAGE,13.0,MEDICAL,A,10000,6.99,0.14,N,10,0,0.03794861901828778
24528,28,60000,RENT,8.0,EDUCATION,A,10000,8.9,0.17,N,9,0,0.07470006572155002
25860,28,91000,MORTGAGE,12.0,MEDICAL,C,21000,13.35,0.23,Y,6,0,0.08738892395305224
22137,32,52500,MORTGAGE,9.0,HOMEIMPROVEMENT,C,7000,12.99,0.13,N,9,0,0.12443801196210574
2188,24,57772,RENT,6.0,VENTURE,C,13500,13.99,0.23,N,2,0,0.17483691981117488
